gsm,field,raw_value,reason
GSM3647121,age,12,number_without_unit
GSM3647122,age,12,number_without_unit
GSM3647123,age,12,number_without_unit
GSM3647124,age,12,number_without_unit
GSM3647125,age,12,number_without_unit
GSM3647126,age,12,number_without_unit
GSM3647127,age,12,number_without_unit
GSM3647128,age,12,number_without_unit
GSM3647129,age,12,number_without_unit
GSM3647130,age,12,number_without_unit
GSM3647131,age,12,number_without_unit
GSM3647132,age,12,number_without_unit
GSM3647133,age,12,number_without_unit
GSM3647134,age,12,number_without_unit
GSM3647135,age,12,number_without_unit
GSM3647136,age,12,number_without_unit
GSM3647137,age,12,number_without_unit
GSM3647138,age,12,number_without_unit
GSM3647139,age,12,number_without_unit
GSM3647140,age,12,number_without_unit
GSM3647141,age,12,number_without_unit
GSM3647142,age,12,number_without_unit
GSM3647143,age,12,number_without_unit
GSM3647144,age,12,number_without_unit
GSM3647145,age,12,number_without_unit
GSM3647146,age,12,number_without_unit
GSM3647147,age,12,number_without_unit
GSM3647148,age,12,number_without_unit
GSM3647149,age,12,number_without_unit
GSM3647150,age,12,number_without_unit
GSM3647151,age,12,number_without_unit
GSM3647152,age,12,number_without_unit
GSM3647153,age,12,number_without_unit
GSM3647154,age,12,number_without_unit
GSM3647155,age,12,number_without_unit
GSM3647156,age,12,number_without_unit
GSM3647157,age,12,number_without_unit
GSM3647158,age,12,number_without_unit
GSM3647159,age,12,number_without_unit
GSM3647160,age,12,number_without_unit
GSM3647161,age,12,number_without_unit
GSM3647162,age,12,number_without_unit
GSM3647163,age,12,number_without_unit
GSM3647164,age,12,number_without_unit
GSM3647165,age,12,number_without_unit
GSM3647166,age,12,number_without_unit
GSM3647167,age,12,number_without_unit
GSM3647168,age,12,number_without_unit
GSM3647169,age,12,number_without_unit
GSM3647170,age,12,number_without_unit
GSM3647171,age,12,number_without_unit
GSM3647172,age,12,number_without_unit
GSM3647173,age,12,number_without_unit
GSM3647174,age,12,number_without_unit
GSM3647175,age,12,number_without_unit
GSM3647176,age,12,number_without_unit
GSM3647177,age,12,number_without_unit
GSM3647178,age,12,number_without_unit
GSM3647179,age,12,number_without_unit
GSM3647180,age,12,number_without_unit
GSM3647181,age,12,number_without_unit
GSM3647182,age,12,number_without_unit
GSM3647183,age,12,number_without_unit
GSM3647184,age,12,number_without_unit
GSM3647185,age,12,number_without_unit
GSM3647186,age,12,number_without_unit
GSM3647187,age,12,number_without_unit
GSM3647188,age,12,number_without_unit
GSM3647189,age,12,number_without_unit
GSM3647190,age,12,number_without_unit
GSM3647191,age,12,number_without_unit
GSM3647192,age,12,number_without_unit
GSM3647193,age,12,number_without_unit
GSM3647194,age,12,number_without_unit
GSM3647195,age,12,number_without_unit
GSM3647196,age,12,number_without_unit
GSM3647197,age,12,number_without_unit
GSM3647198,age,12,number_without_unit
GSM3647199,age,12,number_without_unit
GSM3647200,age,12,number_without_unit
GSM3647201,age,12,number_without_unit
