gse,title,data_type,score,tier,n_samples,n_young,n_old,age_min_months,age_max_months,sexes,metadata_completeness,sample_types,tissues,cell_types,flags,pubmed_ids,geo_url
GSE302157,scRNA-Seq of Retinal microglia from 6 months old Balb/c mice infected with MCMV at birth,single-cell RNA-seq,47.0,not recommended,3,0,0,,,,0.5,isolated cells,retina,microglia,no_age;sex_not_reported;single_cell;treatment_present;few_samples,41811959,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302157
GSE207948,Gene expression profile at single cell level of microglia from forced microglia turnover and control mouse brain,single-cell RNA-seq,47.0,not recommended,2,0,0,,,,0.5,isolated cells,brain,microglia,no_age;sex_not_reported;single_cell;treatment_present;few_samples,37697166;38496847,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207948
GSE283362,Microglia activation orchestrates CXCL10-mediated CD8+ T cell recruitment to promote aging-related white matter degeneration (fixed scRNA-seq),single-cell RNA-seq,47.0,not recommended,2,0,0,,,,0.5,tissue,optic nerve,,no_age;sex_not_reported;single_cell;treatment_present;few_samples,40404995,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283362
GSE304771,scRNA-seq of microglia from Cx3cr1CreERT2(Litt) adult mice reveals gene expression profile after TAM treatment.,single-cell RNA-seq,47.0,not recommended,2,0,0,,,,0.5,isolated cells,brain,microglia,no_age;sex_not_reported;single_cell;genotype_mixed;treatment_present;few_samples,40928945,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE304771
GSE312732,Tomatidine is a senotherapeutic compound that improves cognitive function and reduces cellular senescence in aged mice,single-cell RNA-seq,47.0,not recommended,2,0,0,,,,0.5,tissue,hippocampus,,no_age;sex_not_reported;single_cell;treatment_present;few_samples,41922652,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312732
GSE135999,NAD+ supplementation normalizes neuroinflammation and senescence via the cGAS-STING pathway,microarray,46.5,not recommended,48,0,0,12.0,12.0,,0.75,tissue,brain,,sex_not_reported;genotype_mixed;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135999
GSE129296,Expression data from microglia in Abeta and TAU mouse models of Alzheimer Disease,microarray,46.5,not recommended,23,11,0,3.0,12.0,,0.75,isolated cells,hippocampus,microglia,sex_not_reported;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE129296
GSE106620,Long-term neuroinflammation induced by influenza A virus infection and the impact on hippocampal neuron morphology and function,microarray,46.5,not recommended,22,0,0,,,female,0.75,tissue,hippocampus,,no_age;single_sex;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106620
GSE292830,Monocytes can efficiently replace all brain macrophages and instruct different microglial identities depending on their origin,single-cell RNA-seq,45.8,not recommended,16,0,0,,,,0.4688,isolated cells,"bone marrow, brain, liver",monocyte,no_age;sex_not_reported;single_cell;genotype_mixed;treatment_present;multi_assay;non_expression_samples,40311613,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292830
GSE276929,Aurka-Bhlhe41 axis prevents premature aging-like microglial dysfunction and promotes remyelination,microarray,44.0,not recommended,6,0,0,,,,0.5,isolated cells,,microglia,no_age;sex_not_reported;genotype_mixed,41896238,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276929
GSE179721,Minimizing the ex vivo confounds of cell-isolation techniques on transcriptomic profiles of purified microglia,bulk RNA-seq,42.5,not recommended,80,0,0,,,,0.5,isolated cells,brain,,no_age;sex_not_reported;genotype_mixed;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179721
GSE269720,Fate-mapping and functional dissection reveal perilous influence of type I interferon signaling in mouse brain aging,bulk RNA-seq,42.5,not recommended,37,0,0,,,,0.5,"isolated cells, tissue",cerebral cortex,,no_age;sex_not_reported;genotype_mixed;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE269720
GSE183050,RNAseq of isolated astrocytes and microglia from APPPS1E4fl/fl mice following astroycte APOE removal,bulk RNA-seq,42.5,not recommended,28,0,0,,,,0.5,isolated cells,hippocampus,"astrocyte, microglia",no_age;sex_not_reported;genotype_mixed;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE183050
GSE275072,Decreased sialylation in the mouse retina elicits complement-related microglia response and bipolar cell loss,bulk RNA-seq,42.5,not recommended,27,0,0,,,,0.5,tissue,retina,,no_age;sex_not_reported;genotype_mixed;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE275072
GSE277245,Innate immune signaling by ZBP1-RIPK1 axis drives neuroinflammation in Alzheimer's disease,bulk RNA-seq,42.5,not recommended,24,0,0,,,,0.5,tissue,hippocampus,,no_age;sex_not_reported;genotype_mixed;no_publication;multi_assay;non_expression_samples,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE277245
GSE338200,Cannabidiol reverses microglial exhaustion in aged Gulf War Illness mice,bulk RNA-seq,42.5,not recommended,22,0,0,,,,0.5,isolated cells,,microglia,no_age;sex_not_reported;genotype_mixed;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE338200
GSE215439,Effect of metronidazole on microglial gene expression and gut microbiome composition in the 5XFAD mice model of Alzheimer's disease,bulk RNA-seq,42.5,not recommended,20,0,0,,,,0.5,isolated cells,brain,microglia,no_age;sex_not_reported;genotype_mixed;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE215439
GSE301244,Bioinformatic analysis identifies RGS10 as a modulator of BV-2 cell migration,bulk RNA-seq,42.5,not recommended,20,0,0,,,,0.5,cell line,,microglia,no_age;sex_not_reported;cell_line;genotype_mixed;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE301244
GSE324086,Hereditary spastic paraplegia (HSP) gene 11 (SPG11) attenuates lipid accumulation in myeloid cells and neuroinflammation independent of α-synuclein pathology,bulk RNA-seq,42.5,not recommended,20,0,0,,,,0.5,tissue,midbrain,,no_age;sex_not_reported;genotype_mixed;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE324086
GSE233951,Dynamics of reactive astrocytes fosters tissue regeneration after cuprizone-induced demyelination [RNA-seq I],bulk RNA-seq,42.5,not recommended,17,0,0,,,,0.5,isolated cells,brain,astrocyte,no_age;sex_not_reported;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233951
GSE215438,Effect of Bacteroides fragilis administration on microglia in WT and the APP-PS1 model of Alzheimer's disease [Bfrag],bulk RNA-seq,42.5,not recommended,15,0,0,,,,0.5,isolated cells,brain,microglia,no_age;sex_not_reported;genotype_mixed;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE215438
GSE279995,Rheb modulates mTORC1-independent metabolism is essential for lysosomal function in microglia,bulk RNA-seq,42.5,not recommended,14,0,0,,,,0.5,isolated cells,,microglia,no_age;sex_not_reported;genotype_mixed;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279995
GSE338411,Transcriptomic changes in the mouse olfactory bulb following peripheral SARS-CoV-2 infection,bulk RNA-seq,42.5,not recommended,12,0,0,,,,0.5,tissue,olfactory bulb,,no_age;sex_not_reported;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE338411
GSE320423,lncRNA 3222401L13Rik/ENSG00000272070 modulates microglial inflammatory programs in association with PU.1,bulk RNA-seq,42.5,not recommended,10,0,0,,,,0.5,isolated cells,,microglia,no_age;sex_not_reported;treatment_present;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE320423
