gse,title,data_type,score,tier,n_samples,n_young,n_old,age_min_months,age_max_months,sexes,metadata_completeness,sample_types,tissues,cell_types,flags,pubmed_ids,geo_url
GSE208386,Bulk RNA-seq of microglia at different ages,bulk RNA-seq,100.0,ready,64,14,12,3.0,24.0,"female, male",1.0,isolated cells,brain,microglia,treatment_present,37697166,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE208386
GSE233400,Microglial senescence contributes to female-biased neuroinflammation in the aging mouse hippocampus: implications for Alzheimer’s disease,bulk RNA-seq,100.0,ready,38,17,21,5.5,23.5,"female, male",1.0,isolated cells,hippocampus,microglia,,37587511;38058312,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233400
GSE287142,Retinoid X Receptor as a Mediator of Post Stroke Recovery by Reversing Age-Associated Phenotypes of Microglia/Hematogenous Macrophages,bulk RNA-seq,100.0,ready,18,3,6,3.0,19.0,male,1.0,isolated cells,brain,macrophage,single_sex;treatment_present,40803891,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE287142
GSE156762,mTOR-dependent translation amplifies microglia priming in ageing,bulk RNA-seq,100.0,ready,9,3,3,6.0,23.0,female,1.0,isolated cells,brain,microglia,single_sex,33108356,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156762
GSE131869,Cx3cr1-deficient microglia exhibit a premature aging transcriptome,bulk RNA-seq,98.0,ready,155,19,10,2.0,24.0,"female, male",0.95,"isolated cells, not stated",,microglia,genotype_mixed;treatment_present,31792059,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131869
GSE166548,White matter aging drives microglial diversity,single-cell RNA-seq,97.0,ready,1047,27,287,0.46,28.0,"female, male, mixed",1.0,"isolated cells, tissue","grey matter, prefrontal cortex, white matter",microglia,pooled_samples;single_cell;genotype_mixed,33606969;34159323,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE166548
GSE115622,Quiescence modulates stem cell maintenance and regenerative capacity in the aging brain – SMART-seq2,single-cell RNA-seq,97.0,ready,168,8,158,2.0,25.0,male,1.0,"isolated cells, tissue","cerebral cortex, striatum, subventricular zone","astrocyte, microglia",single_sex;single_cell,30827680,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115622
GSE267529,Microglia undergo sex-dimorphic transcriptional and metabolic rewiring during aging,single-cell RNA-seq,97.0,ready,20,10,10,4.0,25.0,"female, male",1.0,isolated cells,hippocampus,microglia,single_cell,38840206,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267529
GSE188646,Single cell analysis of the aging hypothalamus,single-cell RNA-seq,97.0,ready,8,4,4,3.0,21.5,female,1.0,tissue,hypothalamus,,single_sex;single_cell,36285248,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE188646
GSE87102,"Genome-wide profiling of hypothalamus, cerebellum, striatum, and frontal cortex across young, middle-aged, and aged mice",microarray,94.0,ready,104,39,34,2.5,23.0,"female, male",1.0,tissue,"cerebellum, cerebral cortex, hypothalamus, striatum",,,27689748,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE87102
GSE203202,Sex-related differences in Alzheimer’s disease,microarray,94.0,ready,36,6,12,,,"female, male",1.0,primary culture,,microglia,qualitative_age;genotype_mixed,35875349,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE203202
GSE85084,Sexually dimorphic induction of microglial-associated neuroinflammation with hippocampal aging,microarray,94.0,ready,24,8,8,,,"female, male",1.0,tissue,hippocampus,,qualitative_age,28732515,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE85084
GSE182973,Sex modulates microglia in the aging brain,bulk RNA-seq,92.5,ready,22,6,6,1.84,23.0,"female, male",1.0,isolated cells,brain,microglia,no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182973
GSE309778,Lysosomal multi-omics reveals altered sphingolipid catabolism as driver of lysosomal dysfunction in the aging brain.,bulk RNA-seq,92.5,ready,12,4,4,3.0,18.0,male,1.0,tissue,cerebral cortex,,single_sex;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309778
GSE75083,Progranulin Deficiency Promotes Circuit-Specific Synaptic Pruning by Microglia via Complement Activation,microarray,91.6,ready,169,27,9,2.0,18.0,"female, male",0.9408,"isolated cells, tissue","cerebellum, cerebral cortex, hippocampus",microglia,genotype_mixed,27114033,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75083
GSE99074,Transcriptomic analysis of purified human cortical microglia reveals age-associated changes,bulk RNA-seq,90.8,ready,71,19,26,2.3,1224.0,"female, male",0.7711,"isolated cells, tissue",brain,microglia,mixed_organisms,28671693,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE99074
GSE128770,Age Attenuates the Transcriptional Changes that Occur with Sleep in the Medial Prefrontal Cortex,bulk RNA-seq,90.0,ready,108,54,54,,,,0.75,tissue,prefrontal cortex,,qualitative_age;sex_not_reported,31549781;32928100,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE128770
GSE283401,Gene expression profile of Fcrls+/CD11b+/Ly6C- microglia from young and old mice after abdominal surgery,bulk RNA-seq,90.0,ready,96,16,32,4.0,21.0,,0.75,isolated cells,brain,microglia,sex_not_reported;treatment_present,39696348,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283401
GSE98401,MEF2C restrains microglial responses to inflammatory stimuli and is reduced upon IFN-I in brain aging,bulk RNA-seq,90.0,ready,58,15,3,3.0,22.0,,0.75,isolated cells,brain,,age_inferred;sex_not_reported;treatment_present,28959042,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE98401
GSE122085,"Characterisation of young, old and old repopulating microglia in spinal cord and brain of C57BL/6 wild type male mice",bulk RNA-seq,90.0,ready,48,16,16,3.0,23.0,,0.75,"isolated cells, tissue","brain, spinal cord",microglia,sex_not_reported;treatment_present,31693894,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122085
GSE123847,RNA sequencing after forced turnover of adult and aged microglia,bulk RNA-seq,90.0,ready,48,12,12,2.0,22.0,,0.75,"isolated cells, tissue",brain,microglia,sex_not_reported;treatment_present,30477578,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123847
GSE168430,"Identification and drug-induced reversion of molecular signatures of Alzheimer´s disease onset and progression in AppNL-G-F, AppNL-F and 3xTg-AD mouse models (RNA-seq: WT/NLF/NLGF)",bulk RNA-seq,90.0,ready,48,12,4,3.0,18.0,,0.75,tissue,hippocampus,,sex_not_reported;genotype_mixed,34702310,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168430
GSE182719,Gut microbiota drives age-related oxidative stress and mitochondrial damage in microglia via the metabolite N(6)-Carboxymethyllysine,bulk RNA-seq,90.0,ready,44,16,24,1.84,23.0,"female, male",0.75,isolated cells,brain,microglia,treatment_present,35241804,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182719
GSE254227,ALS/FTD-linked TBK1 deficiency in microglia induces an aged-like microglial signature and drives social recognition deficits. [FACS_Brain_Microglia],bulk RNA-seq,90.0,ready,35,6,7,4.0,22.0,,0.75,isolated cells,brain,microglia,sex_not_reported;genotype_mixed,40858618,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254227
GSE290810,ALS/FTD-linked TBK1 deficiency in microglia induces an aged-like microglial signature and drives social recognition deficits [FACS_SpinalCord_Microglia & LPS_Brain_SpinalCord],bulk RNA-seq,90.0,ready,35,5,5,4.0,22.0,,0.75,isolated cells,"brain, spinal cord",microglia,sex_not_reported;genotype_mixed;treatment_present,40858618,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290810
GSE154920,Transcriptomes of ATG7 Knockout Microglia,bulk RNA-seq,90.0,ready,30,10,7,,,,0.75,isolated cells,,microglia,qualitative_age;sex_not_reported;genotype_mixed,33067381,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE154920
GSE80465,"Aging, microglia and cytoskeletal regulation are key factors in the pathological evolution of the APP23 mouse model for Alzheimer’s disease",bulk RNA-seq,90.0,ready,24,6,6,1.5,24.0,,0.75,tissue,brain,,sex_not_reported;genotype_mixed,27838490,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80465
GSE229620,Effect of genetic deletion of TREM1 on gene expression of brain primary microglia during aging and in 5XFAD Alzhiemer mice,bulk RNA-seq,90.0,ready,21,3,3,,,,0.75,isolated cells,brain,microglia,qualitative_age;sex_not_reported;genotype_mixed,38539014,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229620
GSE287220,Age-associated microglial transcriptome leads to diminished immunogenicity and dysregulation of MCT4 and P2RY12/P2RY13 related functions,bulk RNA-seq,90.0,ready,20,5,5,,,,0.75,cell line,brain,microglia,age_inferred;qualitative_age;sex_not_reported;cell_line;treatment_present,39828750,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE287220
GSE282391,Neuroprotective role of sialic-acid-binding immunoglobulin-like lectin-11 in humanized transgenic mice,bulk RNA-seq,90.0,ready,17,4,4,6.0,24.0,,0.75,tissue,brain,,age_inferred;sex_not_reported;genotype_mixed,39764391,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282391
GSE127542,RNA-seq of microglia isolated from the hippocampi of young and aged mice,bulk RNA-seq,90.0,ready,16,8,8,3.0,20.0,,0.75,isolated cells,,microglia,sex_not_reported,30944478,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE127542
GSE205803,Naturally-aged microglia exhibit phagocytic dysfunction accompanied by gene expression changes reflective of underlying neurologic disease,bulk RNA-seq,90.0,ready,16,4,4,,,,0.75,isolated cells,,microglia,qualitative_age;sex_not_reported;treatment_present,36376530,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205803
GSE270687,West Nile Virus-induced expression of senescent gene Lgals3bpregulates microglial phenotype within cerebral cortex,bulk RNA-seq,90.0,ready,12,6,6,3.68,19.55,,0.75,isolated cells,brain,,sex_not_reported,39062523,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270687
GSE142361,Transcriptomic and Functional Studies Reveal Undermined Chemotactic and Angiostimulatory Properties of Aged Microglia During Stroke Recovery,bulk RNA-seq,90.0,ready,8,4,4,2.3,18.0,,0.75,isolated cells,,microglia,sex_not_reported,32065074,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE142361
GSE145265,Transcriptomic analysis of mouse brain microglia on aging-associated changes in response to cerebral ischemia,bulk RNA-seq,90.0,ready,8,4,4,2.3,18.0,,0.75,isolated cells,brain,microglia,sex_not_reported,32438860,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145265
GSE127963,Aged blood impairs hippocampal neural precursor activity and activates microglia via brain endothelial cell VCAM1,single-cell RNA-seq,89.5,ready,316,187,129,3.0,19.0,male,1.0,"cell line, isolated cells",brain,endothelial cell,single_sex;cell_line;single_cell;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE127963
GSE234420,cGAS/STING drives ageing-related inflammation and neurodegeneration III,single-cell RNA-seq,87.0,ready,9,3,3,,,,0.75,tissue,hippocampus,,age_inferred;qualitative_age;sex_not_reported;single_cell;treatment_present,37532932,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234420
GSE204828,Comprehensive analysis of cellular senescence in the central nervous system revealed microglial senescence and its involvement in demyelinating diseases,single-cell RNA-seq,87.0,ready,8,4,4,2.0,22.0,,0.75,tissue,brain,,sex_not_reported;single_cell,37353538,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE204828
GSE62420,The regional mouse microglial transcriptome during aging,microarray,84.0,ready,56,24,16,4.0,22.0,,0.75,"isolated cells, tissue",brain,microglia,sex_not_reported,26780511;28303091,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62420
GSE38739,Age-related changes in gene expression in retinal microglia,microarray,84.0,ready,16,4,8,3.0,24.0,,0.75,isolated cells,,microglia,sex_not_reported,23608111,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38739
GSE127758,Aged blood impairs hippocampal neural precursor activity and activates microglia via brain endothelial cell VCAM1,bulk RNA-seq,82.5,ready,12,6,6,,,,0.75,isolated cells,hippocampus,endothelial cell,qualitative_age;sex_not_reported;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE127758
GSE225948,Brain and blood single-cell transcriptomic analysis in acute and subacute phases after experimental stroke,single-cell RNA-seq,82.0,ready,29,8,2,2.07,18.5,"female, male",1.0,"isolated cells, tissue","blood, brain",endothelial cell,single_cell;under_replicated;treatment_present,38177281,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225948
GSE207932,"Gene expression profile at single-cell level of microglia from 3-, 14- and 24-month-old female mouse brains",single-cell RNA-seq,82.0,ready,6,1,1,3.0,24.0,female,1.0,isolated cells,brain,microglia,single_sex;single_cell;under_replicated;treatment_present,37697166,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207932
GSE208292,scRNA-seq of brain cells from 3- and 24-month-old mouse brains,single-cell RNA-seq,82.0,ready,2,1,1,3.0,24.0,female,1.0,tissue,brain,,single_sex;single_cell;under_replicated;few_samples,37697166,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE208292
GSE234667,Extracellular vesicles in young serum contribute to restoration of age-related brain transcriptomes and cognition in old mice,bulk RNA-seq,81.9,ready,89,4,4,,,,0.5478,tissue,"brain, choroid plexus, hippocampus",,age_inferred;qualitative_age;sex_not_reported;genotype_mixed,37628730,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234667
GSE206618,Brain injury accelerates the onset of a reversible age-related microglial phenotype associated with hyperphagocytosis and inflammatory neurodegeneration,bulk RNA-seq,80.0,ready,15,3,8,3.0,18.0,,0.5,isolated cells,brain,microglia,sex_not_reported;treatment_present,36888713,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206618
GSE166304,White matter aging drives microglial diversity,bulk RNA-seq,80.0,ready,8,4,4,4.0,21.0,,0.5,tissue,"grey matter, white matter",,sex_not_reported,33606969,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE166304
GSE104181,Functional aspects of meningeal lymphatics in ageing and Alzheimer's disease [1 of 3],bulk RNA-seq,80.0,ready,6,3,3,2.5,22.0,,0.5,not stated,,,sex_not_reported,30046111,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104181
GSE179698,Microglia aging progresses through functional intermediate steps III,single-cell RNA-seq,79.5,ready,12,6,6,3.0,24.0,,0.75,"isolated cells, tissue",hippocampus,microglia,sex_not_reported;single_cell;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179698
GSE117646,"Microglial translational profiling reveals a convergent APOE pathway from aging, amyloid, and tau",bulk RNA-seq,77.7,ready,70,10,8,,,"female, male",0.4429,"isolated cells, tissue",brain,microglia,age_inferred;qualitative_age,30082275,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117646
GSE161340,Whole-Body Senescent Cell Clearance Alleviates Age-Related Brain Inflammation and Cognitive Impairment in Mice,single-cell RNA-seq,77.0,ready,8,4,4,4.0,24.0,,0.5,tissue,hippocampus,,sex_not_reported;single_cell,33470505,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE161340
GSE129923,Genome-wide microarray analysis on choroid plexus of young and aged mice,microarray,76.5,ready,6,3,3,2.5,21.0,,0.75,tissue,choroid plexus,,sex_not_reported;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE129923
GSE160991,Generalized reversal of glial and neurovascular cell transcriptomic aging signatures by glucagon-like peptide-1 receptor agonist,bulk RNA-seq,75.0,ready,3,1,2,2.5,19.0,,0.75,tissue,brain,,sex_not_reported;under_replicated;few_samples,34079050,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160991
GSE195891,Single cell RNA-seq of immune cells in multiple mouse models of outer retinal degeneration,single-cell RNA-seq,72.0,usable with curation,4,2,1,1.97,24.0,,0.75,tissue,retina,,sex_not_reported;single_cell;under_replicated;genotype_mixed,38289348,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE195891
GSE109329,Transcriptome sequencing elucidates gene modules in microglia,bulk RNA-seq,70.3,usable with curation,816,11,13,2.0,22.0,,0.2574,"isolated cells, primary culture",,microglia,age_inferred;sex_not_reported;treatment_present,30819113,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109329
GSE118989,KCNH2-3.1 mediates aberrant complement activation to impair hippocampal-medial prefrontal pathway associated with schizophrenia,bulk RNA-seq,70.0,usable with curation,69,14,0,0.46,5.06,"female, male",1.0,tissue,prefrontal cortex,,genotype_mixed,31570775,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE118989
GSE134031,TREM2 regulates microglial lipid metabolism during aging in mice [RNA-Seq],bulk RNA-seq,70.0,usable with curation,56,14,0,2.0,16.0,female,1.0,isolated cells,brain,"astrocyte, microglia",single_sex;genotype_mixed,31902528,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134031
GSE241574,Reproducible specificity and efficiency of tamoxifen-mediated cre induction across ages,bulk RNA-seq,70.0,usable with curation,36,0,0,,,"female, male",1.0,isolated cells,hippocampus,microglia,qualitative_age;genotype_mixed;treatment_present,38058312,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241574
GSE273083,"Transcriptomic profiling of mouse brain in PGRN KO, NesGrnOE-KOBG, EGFL7-PGRNdko and floxed control mice (Grnflfl)",bulk RNA-seq,70.0,usable with curation,28,0,0,14.19,16.03,female,1.0,tissue,cerebral cortex,,single_sex;genotype_mixed,41520115,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273083
GSE288261,A Novel Microglia-Specific Transcriptional Signatures Correlates with Behavioural Deficits in Neuropsychiatric Lupus (NP-SLE),bulk RNA-seq,70.0,usable with curation,28,0,0,5.5,11.5,female,1.0,isolated cells,brain,"macrophage, microglia",single_sex;genotype_mixed,32174913,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288261
GSE131283,RNA-seq of different brain tissue areas of Trrap conditional knockout Mus musculus,bulk RNA-seq,70.0,usable with curation,16,0,0,0.33,0.33,"female, male",1.0,tissue,"cerebral cortex, striatum",,genotype_mixed,33594975,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131283
GSE242751,Functional Interaction between APOE4 and mutant APP promotes cerebrovascular changes in young animals,bulk RNA-seq,70.0,usable with curation,15,12,0,3.0,3.0,female,1.0,tissue,hippocampus,,single_sex;genotype_mixed,41211332,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242751
GSE297917,Youth-associated protein TIMP2 regulates microglial state and function in healthy and aged mice [Bulk RNA-seq],bulk RNA-seq,70.0,usable with curation,14,0,0,0.2,0.2,mixed,1.0,isolated cells,,microglia,pooled_samples;genotype_mixed,42586968,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE297917
GSE156542,Loss of TDP-43 in astrocytes leads to motor deficits by triggering A1-like reactive phenotype and tri-glial dysfunctions,bulk RNA-seq,70.0,usable with curation,12,0,0,3.0,3.0,"female, male",1.0,"isolated cells, tissue",spinal cord,astrocyte,genotype_mixed,33127758,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156542
GSE163725,"Aging-associated deficit in CCR7 is linked to worsened glymphatic function, cognition and amyloid beta pathology",bulk RNA-seq,70.0,usable with curation,8,0,0,5.0,5.0,male,1.0,tissue,brain,,single_sex;genotype_mixed,34020948,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163725
GSE139542,RNA-seq of lipid droplet-low and lipid droplet-rich microglia isolated from the hippocampi of aged mice,bulk RNA-seq,70.0,usable with curation,6,0,6,18.0,18.0,male,1.0,tissue,hippocampus,,single_sex,31959936,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE139542
GSE139946,RNA-seq of lipid droplet-low and lipid droplet-rich microglia isolated from the hippocampi of LPS-treated young mice,bulk RNA-seq,70.0,usable with curation,6,6,0,3.0,3.0,male,1.0,tissue,hippocampus,,single_sex,31959936,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE139946
GSE140009,RNA-seq of lipid droplet-low and lipid droplet-rich microglia isolated from the hippocampi of Progranulin KO mice,bulk RNA-seq,70.0,usable with curation,6,0,0,10.0,10.0,male,1.0,tissue,hippocampus,,single_sex,31959936,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE140009
GSE165105,Loss of Tmem106b leads to cerebellum Purkinje cell death and motor deficits,bulk RNA-seq,70.0,usable with curation,6,0,0,15.0,15.0,"female, male",1.0,tissue,brain,,genotype_mixed,33709463,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165105
GSE168755,Age-associated suppression of exploratory activity during sickness is linked to meningeal lymphatic dysfunction and microglia activation [ablation],bulk RNA-seq,70.0,usable with curation,4,0,0,3.0,3.0,male,1.0,tissue,brain,,single_sex;treatment_present,37065770,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168755
GSE309108,"Transcriptomic and proteomic insights into progressive myoclonus epilepsy, EPM1",bulk RNA-seq,70.0,usable with curation,4,2,0,0.46,6.0,male,1.0,tissue,brain,,single_sex;pooled_samples,41782446,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309108
GSE168754,Age-associated suppression of exploratory activity during sickness is linked to meningeal lymphatic dysfunction and microglia activation [aged],bulk RNA-seq,70.0,usable with curation,2,0,1,24.0,24.0,male,1.0,tissue,brain,,single_sex;treatment_present;few_samples,37065770,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168754
GSE17423,Age-related para-inflammation in the neuroretina of the mouse,microarray,69.0,usable with curation,4,2,2,3.0,20.0,male,0.75,tissue,retina,,single_sex;pooled_samples;under_replicated,20538981,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE17423
GSE207955,Gene expression profiles in the hippocampus of the Rp58 hetero-KO and the control wild-type mice in adulthood and old age.,microarray,69.0,usable with curation,4,1,1,4.0,18.0,,0.75,tissue,hippocampus,,sex_not_reported;under_replicated;genotype_mixed,39396010,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207955
GSE121654,"Complex cell-state changes revealed by single cell RNA sequencing of 76,149 microglia throughout the mouse lifespan and in the injured brain",single-cell RNA-seq,67.0,usable with curation,47,11,0,0.13,17.74,"female, male",1.0,"isolated cells, tissue","brain, white matter",,single_cell;treatment_present,30471926,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE121654
GSE254104,Alzheimer’s disease-linked risk alleles elevate microglial cGAS-associated senescence and neurodegeneration in a tauopathy model [snRNAseq],single-cell RNA-seq,67.0,usable with curation,27,0,0,9.2,13.1,"female, male",1.0,tissue,hippocampus,,single_cell;genotype_mixed,39353433;39607927,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254104
GSE156183,Prior activation state shapes the microglia response to anti-human TREM2 in a mouse model of Alzheimer's disease,single-cell RNA-seq,67.0,usable with curation,24,0,0,8.0,8.0,"female, male",1.0,tissue,cerebral cortex,,single_cell;genotype_mixed;treatment_present,33446504,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156183
GSE261494,Ifi27l2a regulates the microglial inflammation in the context of aging and stroke,single-cell RNA-seq,67.0,usable with curation,12,0,0,,,"female, male",1.0,tissue,brain,,age_inferred;qualitative_age;single_cell;genotype_mixed;treatment_present,39953063,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261494
GSE198014,Microglial NF-κB drives tau spreading and toxicity in a mouse model of tauopathy [snRNA-Seq],single-cell RNA-seq,67.0,usable with curation,11,0,0,8.39,10.85,female,1.0,tissue,cerebral cortex,,single_sex;single_cell;genotype_mixed,35413950,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198014
GSE164674,C9orf72 deficiency promotes microglial mediated synaptic loss in aging and amyloid accumulation [scRNA-seq],single-cell RNA-seq,67.0,usable with curation,9,0,0,12.0,12.0,"female, male",1.0,isolated cells,,microglia,single_cell;genotype_mixed,34133945,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164674
GSE215440,Microglia regulate myelin growth and integrity in the central nervous system,single-cell RNA-seq,67.0,usable with curation,8,0,0,1.0,1.0,female,1.0,tissue,"cerebral cortex, hippocampus",,single_sex;single_cell;genotype_mixed,36517604,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE215440
GSE263191,Chronic Cerebral Hypoperfusion Induces Pathological Venous Remodeling via EPAS1 Regulation,single-cell RNA-seq,67.0,usable with curation,8,4,0,2.63,2.63,"female, male",1.0,tissue,prefrontal cortex,,single_cell;treatment_present,40628749,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE263191
GSE154181,Single-nucleus RNA-seq reveals dysregulation of striatal cell identity due to Huntington’s disease mutations,single-cell RNA-seq,67.0,usable with curation,7,0,0,14.0,15.0,male,1.0,tissue,striatum,,age_inferred;single_sex;single_cell;genotype_mixed,34011527,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE154181
GSE200642,Integrative single cell and spatial transcriptomic analysis reveal reciprocal microglia-plasma cell crosstalk in the mouse brain during chronic Trypanosoma brucei infection,single-cell RNA-seq,67.0,usable with curation,6,2,0,1.61,1.61,female,1.0,tissue,"brain, hypothalamus",,single_sex;single_cell;treatment_present;non_expression_samples,36180478,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200642
GSE230480,Microglia response upon demyelinating injury [snRNA-seq],single-cell RNA-seq,67.0,usable with curation,6,3,0,3.0,15.0,male,1.0,tissue,brain,,single_sex;single_cell,39053462,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230480
GSE226286,scRNA-seq of brain cells from control and 3xDR mouse brains,single-cell RNA-seq,67.0,usable with curation,5,0,0,6.5,6.5,male,1.0,tissue,brain,,single_sex;single_cell;treatment_present,37697166,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226286
GSE188283,Parenchymal border macrophages regulate CSF flow dynamics [brain],single-cell RNA-seq,67.0,usable with curation,4,4,0,4.0,4.0,male,1.0,tissue,brain,,single_sex;single_cell,36352225,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE188283
GSE206114,Parenchymal border macrophages regulate CSF flow dynamics [5xFAD],single-cell RNA-seq,67.0,usable with curation,4,2,0,6.0,6.0,male,1.0,tissue,cerebral cortex,,single_sex;single_cell;genotype_mixed,36352225,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206114
GSE297916,Youth-associated protein TIMP2 regulates microglial state and function in healthy and aged mice [snRNA-seq],single-cell RNA-seq,67.0,usable with curation,4,0,2,20.0,20.0,male,1.0,tissue,hippocampus,,single_sex;single_cell;treatment_present,42586968,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE297916
