gsm,title,source_name,organism,molecule,library_strategy,library_source,is_expression,age_raw,age_value,age_unit,age_months,age_stage,age_group,age_rule,age_source,age_flags,sex_raw,sex,sex_rule,sex_source,tissue_raw,tissue,tissue_ontology,cell_type_raw,cell_type,cell_type_ontology,cell_line,sample_type,strain_raw,strain,genotype_raw,genotype_is_control,treatment_raw,treatment_is_control,treatment_source,is_pooled,is_cell_level,series_ids
GSM1477562,SAMP8_Astrocytes_CR_Diet_ Replicate_3,SAMP8_Astrocytes_CR_diet,Mus musculus,total RNA,,,True,2 days,2.0,days,0.07,,developmental,number_with_unit,field,,,,,,cerebral cortical tissue,cerebral cortex,UBERON:0000956,Primary astrocyte cultures,astrocyte,CL:0000127,,isolated cells,senescence-accelerated prone 8 (SAMP8) mouse,SAMP8,,,10% Rat serum subjected to an CR Diet for 48hrs,False,field,False,False,GSE60388
GSM1526783,"Cerebellar microglia at 4month, biological rep1",Microglia extracted from cerebellum at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,microglia,CL:0000129,,isolated cells,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526784,"Cerebellar microglia at 4month, biological rep2",Microglia extracted from cerebellum at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,microglia,CL:0000129,,isolated cells,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526785,"Cerebellar microglia at 4month, biological rep3",Microglia extracted from cerebellum at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,microglia,CL:0000129,,isolated cells,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526786,"Cerebellar microglia at 4month, biological rep4",Microglia extracted from cerebellum at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,microglia,CL:0000129,,isolated cells,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526787,"Cortical microglia at 4month, biological rep1",Microglia extracted from cortex at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,microglia,CL:0000129,,isolated cells,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526788,"Cortical microglia at 4month, biological rep2",Microglia extracted from cortex at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,microglia,CL:0000129,,isolated cells,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526789,"Cortical microglia at 4month, biological rep3",Microglia extracted from cortex at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,microglia,CL:0000129,,isolated cells,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526790,"Cortical microglia at 4month, biological rep4",Microglia extracted from cortex at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,microglia,CL:0000129,,isolated cells,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526791,"Hippocampal microglia at 4month, biological rep1",Microglia extracted from hippocampus at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,microglia,CL:0000129,,isolated cells,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526792,"Hippocampal microglia at 4month, biological rep2",Microglia extracted from hippocampus at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,microglia,CL:0000129,,isolated cells,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526793,"Hippocampal microglia at 4month, biological rep3",Microglia extracted from hippocampus at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,microglia,CL:0000129,,isolated cells,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526794,"Hippocampal microglia at 4month, biological rep4",Microglia extracted from hippocampus at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,microglia,CL:0000129,,isolated cells,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526795,"Striatal microglia at 4month, biological rep1",Microglia extracted from striatum at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,microglia,CL:0000129,,isolated cells,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526796,"Striatal microglia at 4month, biological rep2",Microglia extracted from striatum at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,microglia,CL:0000129,,isolated cells,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526797,"Striatal microglia at 4month, biological rep3",Microglia extracted from striatum at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,microglia,CL:0000129,,isolated cells,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526798,"Striatal microglia at 4month, biological rep4",Microglia extracted from striatum at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,microglia,CL:0000129,,isolated cells,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
GSM1526799,"Cerebellar homogenates at 4month, biological rep1",Cerebellar homogenates at 4 month of age,Mus musculus,total RNA,,,True,4month,4.0,months,4.0,,young,number_with_unit,field,,,,,,brain,brain,UBERON:0000955,,,,,tissue,,C57BL/6J,C57BL/6J,True,,,,False,False,GSE62420
