gse,title,organism,data_type,published,in_scope,exclusion_reason,fetch_error,score,tier,geo_url
GSE275954,Microglia activation orchestrates CXCL10-mediated CD8+ T cell recruitment to promote aging-related white matter degeneration,synthetic construct; Mus musculus,other,2025-03-07,False,data type out of scope (other),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE275954
GSE277768,CUT&RUN of the aging mouse brain reveals origins of inflammation in the white matter,Mus musculus,chromatin profiling,2025-01-02,False,data type out of scope (chromatin profiling),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE277768
GSE279777,Lysosomes cell autonomously regulate myeloid cell states and immune responses,Mus musculus,chromatin profiling,2025-06-30,False,data type out of scope (chromatin profiling),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279777
GSE280018,Type-I Interferon drives T-cell responses to Amyloid-beta in the central nervous system,Mus musculus,other,2026-01-01,False,data type out of scope (other),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE280018
GSE282205,A spatio-temporal brain miRNA expression atlas identifies sex-independent age-related microglial driven miR-155-5p increase [brain regions],Mus musculus,non-coding RNA profiling,2025-04-13,False,data type out of scope (non-coding RNA profiling),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282205
GSE282207,A spatio-temporal brain miRNA expression atlas identifies sex-independent age-related microglial driven miR-155-5p increase [microglia],Mus musculus,non-coding RNA profiling,2025-04-13,False,data type out of scope (non-coding RNA profiling),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282207
GSE282330,Tlr7 Drives Sex Differences in Age- and AD-related Demyelination [spatial transcriptomics],Mus musculus,other,2024-11-29,False,data type out of scope (other),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282330
GSE284202,Spatial transcriptomics and CUT&RUN of the aging mouse brain reveal origins of inflammation in the white matter,Mus musculus,bulk RNA-seq,2024-12-31,False,SuperSeries (its SubSeries are assessed on their own),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE284202
GSE288182,Local brain reprogramming mitigates Alzheimer's disease and associated bone loss,Mus musculus,methylation profiling,2026-08-12,False,data type out of scope (methylation profiling),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288182
GSE292803,Single-cell multi-omic and multi-region atlas of the Aging Mouse Brain,Mus musculus,methylation profiling,2025-04-30,False,data type out of scope (methylation profiling),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292803
GSE298671,Study on the Mechanism of Acanthopanax senticosus Extract intervening in the regulation of Parkinson's disease by microglial cell-derived exosomes,Mus musculus,non-coding RNA profiling,2026-08-31,False,data type out of scope (non-coding RNA profiling),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE298671
GSE309782,The retrotransposable element-silencing factor Daxx controls microglia identity and function in the adult brain,Mus musculus,chromatin profiling,2026-06-22,False,data type out of scope (chromatin profiling),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309782
GSE313770,Single-cell multi-omic and multi-region atlas of the Aging Male Mouse Brain,Mus musculus,methylation profiling,2025-12-18,False,data type out of scope (methylation profiling),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE313770
GSE318415,Transcriptomic Landscape of Microglia in Mouse Models of Social Dysfunction and Oxytocin-Mediated Recovery,Mus musculus,other,2026-03-02,False,data type out of scope (other),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE318415
GSE319876,"Astro- versus microglia-enriched transcriptomes from aged  Atxn2-CAG100-knockin mice suggest underlying pathology of RNA processing at ribosomes, and possibly at U-bodies [tRNAseq]",Mus musculus,non-coding RNA profiling,2026-05-15,False,data type out of scope (non-coding RNA profiling),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE319876
GSE322277,Spatial transcriptomics reveals molecular mechanisms underlying neuroinflammatory and neurodegenerative sequelae of immune checkpoint inhibition [MERFISH],Mus musculus; synthetic construct,other,2026-06-09,False,data type out of scope (other),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE322277
GSE327147,MERFISH data on seven mouse brain with Abeta pathology,synthetic construct; Mus musculus,other,2026-04-24,False,data type out of scope (other),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE327147
GSE333352,Spatial mapping of senescent and disease-associated microglia in aged mouse brain white matter,Mus musculus,other,2026-05-26,False,data type out of scope (other),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE333352
GSE93143,"Full-coverage landscape of extracellular RNAs, coding and non-coding, secreted by human glioma stem cells",Mus musculus; other sequences; Homo sapiens,non-coding RNA profiling,2018-01-04,False,data type out of scope (non-coding RNA profiling),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE93143
GSE98823,Knockout of HDAC1 and HDAC2 in Microglia,Mus musculus,bulk RNA-seq,2018-03-14,False,SuperSeries (its SubSeries are assessed on their own),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE98823
GSE98971,Single cell RNA-seq identifies a unique microglia type associated with Alzheimer’s disease,Mus musculus,single-cell RNA-seq,2017-06-12,False,SuperSeries (its SubSeries are assessed on their own),,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE98971
